Bairro,Candidato,Votos
MUTIRÃO,28777 CLENILDO QUEIROZ,20
MUTIRÃO,44789 LUCIÉDSON FREITAS,12
MUTIRÃO,45111 BAMBAM DAS PEGADINHAS,6
MUTIRÃO,45123 DUDU DA CAPONGA,2
MUTIRÃO,45444 PALOMA DELRIO,4
MUTIRÃO,12345 DR GUTEMBERG,1
MUTIRÃO,13000 MARIA JÔ,7
MUTIRÃO,27999 JUNIOR GENRO JULIO,4
MUTIRÃO,45555 FRANCISCO DO BALBINO,11
MUTIRÃO,10222 MICHAEL SULLYVAN,18
MUTIRÃO,11444 EVILÁSIO DANTAS,3
MUTIRÃO,13456 ENFERMEIRA LEUDA CARVALHO,1
MUTIRÃO,18713 JERUSALEM,5
MUTIRÃO,22777 GUI DA PADARIA,1
MUTIRÃO,28666 FANTIQUIM,3
MUTIRÃO,44222 LALÁ,1
MUTIRÃO,45000 MAJU,4
MUTIRÃO,45678 JUNIOR DO ZE AIRTON,4
MUTIRÃO,45888 ZE DO JORNAL,5
MUTIRÃO,70123 LU MAIA,4
MUTIRÃO,18400 UELITON FARIAS,2
MUTIRÃO,20333 CELIA DAS MARIAS,1
MUTIRÃO,22444 EDILENE QUEROGA,4
MUTIRÃO,22888 LEIDIANE CIRÍACO,8
MUTIRÃO,27007 SAMIA REGIS,1
MUTIRÃO,28124 MARLY DO BENJAMIN,4
MUTIRÃO,12789 DAYANE,5
MUTIRÃO,20444 DR MARCIO OLIVEIRA ADVOGADO,2
MUTIRÃO,27111 DIEGO MARADONA,1
MUTIRÃO,27333 GALILEU,1
MUTIRÃO,11888 SÉRGIO DO TANGA,2
MUTIRÃO,22300 GILBERTO DA MANGABEIRA,1
MUTIRÃO,18024 JOJO,2
MUTIRÃO,18111 SILVIA DECORAÇÕES,1
MUTIRÃO,28028 MAILSON,2
MUTIRÃO,28456 HAVAGARDO SILVA,1
MUTIRÃO,45222 YURI MOTA,1
MUTIRÃO,40888 ENFERMEIRA NATECIA,1
MUTIRÃO,22678 PASTORA PATRÍCIA,2
MUTIRÃO,12777 VITORIA MARTINS,1
MUTIRÃO,18000 PROFESSOR JOSÉ BESOURO,1
MUTIRÃO,45789 PATRICIA,1
TUJUCUSSU 1,10000 LUZIANE DO MUCURA,55
TUJUCUSSU 1,10123 PAULINHO PROMOÇÕES,53
TUJUCUSSU 1,10333 DAVID GARCÊS,3
TUJUCUSSU 1,10456 GLEIDSON DA BOA AGUA,19
TUJUCUSSU 1,10610 KINZINHO DO VOLMIR,4
TUJUCUSSU 1,10777 PAULO DA JUDITE,35
TUJUCUSSU 1,10789 FLÁVIO CASCAVELENSE,5
TUJUCUSSU 1,11000 FREITAS DA SAÚDE,58
TUJUCUSSU 1,11222 SEBASTIÃO UCHÔA,3
TUJUCUSSU 1,11789 EDUARDO CRUZ,26
TUJUCUSSU 1,12345 DR GUTEMBERG,1
TUJUCUSSU 1,12666 MARIA ELENICE,2
TUJUCUSSU 1,12777 VITORIA MARTINS,7
TUJUCUSSU 1,12888 NETO POLI,82
TUJUCUSSU 1,13000 MARIA JÔ,2
TUJUCUSSU 1,13123 PROFESSOR ADEILDO,17
TUJUCUSSU 1,13444 TIAGO ROCHA,39
TUJUCUSSU 1,13789 PROFESSOR ERIVAN,7
TUJUCUSSU 1,22000 CLAUDEMIR TOCA FOGO,9
TUJUCUSSU 1,22100 NÚBIA DO ABRIGO MASCOTINHO,4
TUJUCUSSU 1,22111 VINÍCIUS OLINDA,12
TUJUCUSSU 1,22555 RAFAEL OLIVEIRA,6
TUJUCUSSU 1,22777 GUI DA PADARIA,4
TUJUCUSSU 1,22999 PITANGA DA FUNERÁRIA,15
TUJUCUSSU 1,27000 LAURO CARDOSO,11
TUJUCUSSU 1,27123 MARCIO RABELO,31
TUJUCUSSU 1,27456 ENFERMEIRA MARCIA,4
TUJUCUSSU 1,27555 FAFA,2
TUJUCUSSU 1,27888 MARCELO DO PAREDÃO,4
TUJUCUSSU 1,27999 JUNIOR GENRO JULIO,11
TUJUCUSSU 1,28007 JOSUÉ CORREIA,4
TUJUCUSSU 1,28123 PRISCILA LIMA,25
TUJUCUSSU 1,28777 CLENILDO QUEIROZ,4
TUJUCUSSU 1,28888 VALDECIR,14
TUJUCUSSU 1,40000 VIEIRA DO TIQUINHO,7
TUJUCUSSU 1,40111 ALLISON CAMILO,4
TUJUCUSSU 1,40123 BETO RAMIRES,15
TUJUCUSSU 1,40444 ADONIAS DO TURISMO,16
TUJUCUSSU 1,40555 NOVO CONSTRUÇÃO,21
TUJUCUSSU 1,44000 OLIVEIRA SILVA,4
TUJUCUSSU 1,44123 GAVIÃO SILVA,3
TUJUCUSSU 1,44555 LURDENIS VIEIRA,7
TUJUCUSSU 1,45000 MAJU,3
TUJUCUSSU 1,45111 BAMBAM DAS PEGADINHAS,1
TUJUCUSSU 1,45112 LUCIANA,5
TUJUCUSSU 1,45121 MAZE,8
TUJUCUSSU 1,45123 DUDU DA CAPONGA,5
TUJUCUSSU 1,45555 FRANCISCO DO BALBINO,7
TUJUCUSSU 1,45777 BRUMARK,13
TUJUCUSSU 1,70000 RONALDO FEITOSA,2
TUJUCUSSU 1,70100 RUBENILTON,2
TUJUCUSSU 1,11666 LIBERATO FILHO,1
TUJUCUSSU 1,11777 DIONES LIMA,2
TUJUCUSSU 1,12123 NENEM DA VIUVA,3
TUJUCUSSU 1,20333 CELIA DAS MARIAS,2
TUJUCUSSU 1,22222 RAFAEL AZEVEDO,1
TUJUCUSSU 1,22300 GILBERTO DA MANGABEIRA,3
TUJUCUSSU 1,28028 MAILSON,4
TUJUCUSSU 1,28666 FANTIQUIM,1
TUJUCUSSU 1,40789 GIRLANE DO CEDRO,1
TUJUCUSSU 1,44444 KEKEU DO MUCURA,1
TUJUCUSSU 1,44567 NETO DANTAS,1
TUJUCUSSU 1,44789 LUCIÉDSON FREITAS,8
TUJUCUSSU 1,70133 LEILDA LELÊ,1
TUJUCUSSU 1,12111 CRISTIANE GOMES,1
TUJUCUSSU 1,12789 DAYANE,1
TUJUCUSSU 1,13222 FÁBIA NAPOLEAO,1
TUJUCUSSU 1,44456 JEOVANE DO GÁS,1
TUJUCUSSU 1,70555 HELENA PORFÍRIO,2
CAPONGA(ESTRADA DO PRATIUS),10000 LUZIANE DO MUCURA,12
CAPONGA(ESTRADA DO PRATIUS),10111 PROFESSORA NONATA COSTA,83
CAPONGA(ESTRADA DO PRATIUS),10123 PAULINHO PROMOÇÕES,42
CAPONGA(ESTRADA DO PRATIUS),10333 DAVID GARCÊS,17
CAPONGA(ESTRADA DO PRATIUS),10610 KINZINHO DO VOLMIR,221
CAPONGA(ESTRADA DO PRATIUS),10777 PAULO DA JUDITE,19
CAPONGA(ESTRADA DO PRATIUS),10789 FLÁVIO CASCAVELENSE,11
CAPONGA(ESTRADA DO PRATIUS),11190 MAGALY MORAIS,16
CAPONGA(ESTRADA DO PRATIUS),11666 LIBERATO FILHO,15
CAPONGA(ESTRADA DO PRATIUS),12777 VITORIA MARTINS,103
CAPONGA(ESTRADA DO PRATIUS),12888 NETO POLI,39
CAPONGA(ESTRADA DO PRATIUS),13444 TIAGO ROCHA,31
CAPONGA(ESTRADA DO PRATIUS),13789 PROFESSOR ERIVAN,49
CAPONGA(ESTRADA DO PRATIUS),20456 VERA DANTAS,8
CAPONGA(ESTRADA DO PRATIUS),22100 NÚBIA DO ABRIGO MASCOTINHO,5
CAPONGA(ESTRADA DO PRATIUS),22111 VINÍCIUS OLINDA,18
CAPONGA(ESTRADA DO PRATIUS),22333 TAZIA XAVIER,28
CAPONGA(ESTRADA DO PRATIUS),22888 LEIDIANE CIRÍACO,2
CAPONGA(ESTRADA DO PRATIUS),27999 JUNIOR GENRO JULIO,152
CAPONGA(ESTRADA DO PRATIUS),28123 PRISCILA LIMA,23
CAPONGA(ESTRADA DO PRATIUS),28666 FANTIQUIM,141
CAPONGA(ESTRADA DO PRATIUS),28888 VALDECIR,38
CAPONGA(ESTRADA DO PRATIUS),40111 ALLISON CAMILO,132
CAPONGA(ESTRADA DO PRATIUS),40123 BETO RAMIRES,14
CAPONGA(ESTRADA DO PRATIUS),40444 ADONIAS DO TURISMO,171
CAPONGA(ESTRADA DO PRATIUS),40555 NOVO CONSTRUÇÃO,45
CAPONGA(ESTRADA DO PRATIUS),44555 LURDENIS VIEIRA,5
CAPONGA(ESTRADA DO PRATIUS),44777 NILDE BORGES,12
CAPONGA(ESTRADA DO PRATIUS),45000 MAJU,27
CAPONGA(ESTRADA DO PRATIUS),45123 DUDU DA CAPONGA,52
CAPONGA(ESTRADA DO PRATIUS),45555 FRANCISCO DO BALBINO,52
CAPONGA(ESTRADA DO PRATIUS),45777 BRUMARK,2
CAPONGA(ESTRADA DO PRATIUS),45888 ZE DO JORNAL,2
CAPONGA(ESTRADA DO PRATIUS),10456 GLEIDSON DA BOA AGUA,3
CAPONGA(ESTRADA DO PRATIUS),11999 JAIRO TAXISTA,24
CAPONGA(ESTRADA DO PRATIUS),12123 NENEM DA VIUVA,6
CAPONGA(ESTRADA DO PRATIUS),12345 DR GUTEMBERG,2
CAPONGA(ESTRADA DO PRATIUS),13123 PROFESSOR ADEILDO,10
CAPONGA(ESTRADA DO PRATIUS),13222 FÁBIA NAPOLEAO,9
CAPONGA(ESTRADA DO PRATIUS),13456 ENFERMEIRA LEUDA CARVALHO,1
CAPONGA(ESTRADA DO PRATIUS),27000 LAURO CARDOSO,5
CAPONGA(ESTRADA DO PRATIUS),27456 ENFERMEIRA MARCIA,4
CAPONGA(ESTRADA DO PRATIUS),40000 VIEIRA DO TIQUINHO,5
CAPONGA(ESTRADA DO PRATIUS),44123 GAVIÃO SILVA,2
CAPONGA(ESTRADA DO PRATIUS),44222 LALÁ,1
CAPONGA(ESTRADA DO PRATIUS),44333 ELISANGELA SILVA,1
CAPONGA(ESTRADA DO PRATIUS),44789 LUCIÉDSON FREITAS,9
CAPONGA(ESTRADA DO PRATIUS),44900 SHEIK DO DR BRUNO,2
CAPONGA(ESTRADA DO PRATIUS),10222 MICHAEL SULLYVAN,1
CAPONGA(ESTRADA DO PRATIUS),10555 PROFESSORA ADRIANA,2
CAPONGA(ESTRADA DO PRATIUS),11000 FREITAS DA SAÚDE,15
CAPONGA(ESTRADA DO PRATIUS),18111 SILVIA DECORAÇÕES,1
CAPONGA(ESTRADA DO PRATIUS),22999 PITANGA DA FUNERÁRIA,1
CAPONGA(ESTRADA DO PRATIUS),27111 DIEGO MARADONA,1
CAPONGA(ESTRADA DO PRATIUS),27123 MARCIO RABELO,1
CAPONGA(ESTRADA DO PRATIUS),45111 BAMBAM DAS PEGADINHAS,1
CAPONGA(ESTRADA DO PRATIUS),11222 SEBASTIÃO UCHÔA,2
CAPONGA(ESTRADA DO PRATIUS),11777 DIONES LIMA,1
CAPONGA(ESTRADA DO PRATIUS),13000 MARIA JÔ,1
CAPONGA(ESTRADA DO PRATIUS),18777 FABIO MARTINS,1
CAPONGA(ESTRADA DO PRATIUS),20444 DR MARCIO OLIVEIRA ADVOGADO,2
CAPONGA(ESTRADA DO PRATIUS),22222 RAFAEL AZEVEDO,6
CAPONGA(ESTRADA DO PRATIUS),45222 YURI MOTA,1
CAPONGA(ESTRADA DO PRATIUS),70133 LEILDA LELÊ,1
CAPONGA(ESTRADA DO PRATIUS),11789 EDUARDO CRUZ,3
CAPONGA(ESTRADA DO PRATIUS),44444 KEKEU DO MUCURA,3
CAPONGA(ESTRADA DO PRATIUS),44456 JEOVANE DO GÁS,3
CAPONGA(ESTRADA DO PRATIUS),18888 PROFESSOR SILVESTRE,1
CAPONGA(ESTRADA DO PRATIUS),22555 RAFAEL OLIVEIRA,1
CAPONGA(ESTRADA DO PRATIUS),70100 RUBENILTON,1
CAPONGA(ESTRADA DO PRATIUS),70123 LU MAIA,1
CAPONGA(ESTRADA DO PRATIUS),11123 DALVA DO MANGUINHOS,1
CAPONGA(ESTRADA DO PRATIUS),27777 SERGINHO PARATLETA,1
CAPONGA(ESTRADA DO PRATIUS),27888 MARCELO DO PAREDÃO,2
CAPONGA(ESTRADA DO PRATIUS),70000 RONALDO FEITOSA,1
PITOMBEIRAS(CEDRO),10000 LUZIANE DO MUCURA,1
PITOMBEIRAS(CEDRO),10456 GLEIDSON DA BOA AGUA,11
PITOMBEIRAS(CEDRO),10789 FLÁVIO CASCAVELENSE,13
PITOMBEIRAS(CEDRO),11000 FREITAS DA SAÚDE,40
PITOMBEIRAS(CEDRO),12123 NENEM DA VIUVA,4
PITOMBEIRAS(CEDRO),12777 VITORIA MARTINS,1
PITOMBEIRAS(CEDRO),12888 NETO POLI,1
PITOMBEIRAS(CEDRO),13123 PROFESSOR ADEILDO,3
PITOMBEIRAS(CEDRO),13444 TIAGO ROCHA,2
PITOMBEIRAS(CEDRO),18888 PROFESSOR SILVESTRE,1
PITOMBEIRAS(CEDRO),22000 CLAUDEMIR TOCA FOGO,2
PITOMBEIRAS(CEDRO),22111 VINÍCIUS OLINDA,2
PITOMBEIRAS(CEDRO),22999 PITANGA DA FUNERÁRIA,2
PITOMBEIRAS(CEDRO),27000 LAURO CARDOSO,1
PITOMBEIRAS(CEDRO),28028 MAILSON,1
PITOMBEIRAS(CEDRO),28888 VALDECIR,32
PITOMBEIRAS(CEDRO),40000 VIEIRA DO TIQUINHO,4
PITOMBEIRAS(CEDRO),40555 NOVO CONSTRUÇÃO,6
PITOMBEIRAS(CEDRO),40789 GIRLANE DO CEDRO,35
PITOMBEIRAS(CEDRO),44567 NETO DANTAS,26
PITOMBEIRAS(CEDRO),45112 LUCIANA,1
CENTRO,10000 LUZIANE DO MUCURA,121
CENTRO,10123 PAULINHO PROMOÇÕES,407
CENTRO,10333 DAVID GARCÊS,134
CENTRO,10456 GLEIDSON DA BOA AGUA,151
CENTRO,10555 PROFESSORA ADRIANA,24
CENTRO,10777 PAULO DA JUDITE,503
CENTRO,10789 FLÁVIO CASCAVELENSE,220
CENTRO,11000 FREITAS DA SAÚDE,371
CENTRO,11111 PASTORA HELENA CORDEIRO,74
CENTRO,11222 SEBASTIÃO UCHÔA,195
CENTRO,11789 EDUARDO CRUZ,54
CENTRO,11999 JAIRO TAXISTA,13
CENTRO,12111 CRISTIANE GOMES,7
CENTRO,12123 NENEM DA VIUVA,85
CENTRO,12777 VITORIA MARTINS,28
CENTRO,12888 NETO POLI,216
CENTRO,13000 MARIA JÔ,62
CENTRO,13123 PROFESSOR ADEILDO,342
CENTRO,13222 FÁBIA NAPOLEAO,156
CENTRO,13444 TIAGO ROCHA,415
CENTRO,13789 PROFESSOR ERIVAN,189
CENTRO,18000 PROFESSOR JOSÉ BESOURO,23
CENTRO,18111 SILVIA DECORAÇÕES,10
CENTRO,18555 TICO,10
CENTRO,20456 VERA DANTAS,19
CENTRO,22000 CLAUDEMIR TOCA FOGO,312
CENTRO,22100 NÚBIA DO ABRIGO MASCOTINHO,283
CENTRO,22111 VINÍCIUS OLINDA,159
CENTRO,22222 RAFAEL AZEVEDO,188
CENTRO,22444 EDILENE QUEROGA,9
CENTRO,22999 PITANGA DA FUNERÁRIA,171
CENTRO,27000 LAURO CARDOSO,163
CENTRO,27123 MARCIO RABELO,128
CENTRO,27456 ENFERMEIRA MARCIA,149
CENTRO,27888 MARCELO DO PAREDÃO,87
CENTRO,27999 JUNIOR GENRO JULIO,41
CENTRO,28007 JOSUÉ CORREIA,37
CENTRO,28028 MAILSON,12
CENTRO,28123 PRISCILA LIMA,360
CENTRO,28124 MARLY DO BENJAMIN,7
CENTRO,28777 CLENILDO QUEIROZ,28
CENTRO,28888 VALDECIR,247
CENTRO,40000 VIEIRA DO TIQUINHO,216
CENTRO,40111 ALLISON CAMILO,50
CENTRO,40123 BETO RAMIRES,178
CENTRO,40444 ADONIAS DO TURISMO,124
CENTRO,40456 JORDANA BRAGA,9
CENTRO,40555 NOVO CONSTRUÇÃO,244
CENTRO,44000 OLIVEIRA SILVA,80
CENTRO,44111 DODÓ,14
CENTRO,44123 GAVIÃO SILVA,44
CENTRO,44222 LALÁ,10
CENTRO,44444 KEKEU DO MUCURA,126
CENTRO,44456 JEOVANE DO GÁS,48
CENTRO,44555 LURDENIS VIEIRA,84
CENTRO,44567 NETO DANTAS,106
CENTRO,44789 LUCIÉDSON FREITAS,200
CENTRO,44900 SHEIK DO DR BRUNO,30
CENTRO,45000 MAJU,10
CENTRO,45111 BAMBAM DAS PEGADINHAS,27
CENTRO,45112 LUCIANA,17
CENTRO,45121 MAZE,9
CENTRO,45444 PALOMA DELRIO,25
CENTRO,45555 FRANCISCO DO BALBINO,70
CENTRO,45678 JUNIOR DO ZE AIRTON,24
CENTRO,45777 BRUMARK,40
CENTRO,45888 ZE DO JORNAL,56
CENTRO,70123 LU MAIA,1
CENTRO,70555 HELENA PORFÍRIO,22
CENTRO,70888 DINIZ,9
CENTRO,10610 KINZINHO DO VOLMIR,13
CENTRO,11666 LIBERATO FILHO,13
CENTRO,11777 DIONES LIMA,12
CENTRO,18444 ELIANE,8
CENTRO,22888 LEIDIANE CIRÍACO,31
CENTRO,27777 SERGINHO PARATLETA,22
CENTRO,28333 ADILENE NOBRE,32
CENTRO,28555 DR RUBENS,8
CENTRO,28666 FANTIQUIM,15
CENTRO,40222 NETA FREITAS,20
CENTRO,40888 ENFERMEIRA NATECIA,2
CENTRO,12555 HELIO ALEGRIA,14
CENTRO,18666 DR AURÉLIO,5
CENTRO,20333 CELIA DAS MARIAS,21
CENTRO,22300 GILBERTO DA MANGABEIRA,29
CENTRO,22555 RAFAEL OLIVEIRA,49
CENTRO,22777 GUI DA PADARIA,8
CENTRO,45234 ALZANIR,3
CENTRO,10111 PROFESSORA NONATA COSTA,11
CENTRO,10222 MICHAEL SULLYVAN,9
CENTRO,11190 MAGALY MORAIS,4
CENTRO,13567 PROFESSOR OZELITO,19
CENTRO,22678 PASTORA PATRÍCIA,3
CENTRO,45123 DUDU DA CAPONGA,7
CENTRO,45222 YURI MOTA,17
CENTRO,45789 PATRICIA,14
CENTRO,12789 DAYANE,6
CENTRO,27007 SAMIA REGIS,6
CENTRO,40789 GIRLANE DO CEDRO,7
CENTRO,11234 TIA LURDES,7
CENTRO,12666 MARIA ELENICE,17
CENTRO,13456 ENFERMEIRA LEUDA CARVALHO,13
CENTRO,22333 TAZIA XAVIER,10
CENTRO,27555 FAFA,9
CENTRO,70133 LEILDA LELÊ,4
CENTRO,11444 EVILÁSIO DANTAS,8
CENTRO,12012 MARIANGELA,6
CENTRO,18888 PROFESSOR SILVESTRE,5
CENTRO,27111 DIEGO MARADONA,6
CENTRO,18024 JOJO,2
CENTRO,18400 UELITON FARIAS,14
CENTRO,11888 SÉRGIO DO TANGA,6
CENTRO,12345 DR GUTEMBERG,4
CENTRO,18777 FABIO MARTINS,10
CENTRO,28000 VLADIA DE OLIVEIRA,11
CENTRO,70100 RUBENILTON,8
CENTRO,28111 JORGE RODRIGUES,4
CENTRO,28456 HAVAGARDO SILVA,3
CENTRO,20777 CLAUDIA MARIA,1
CENTRO,18133 ANIZIA,2
CENTRO,18713 JERUSALEM,4
CENTRO,18999 PROFESSOR BOSCO,3
CENTRO,44333 ELISANGELA SILVA,1
CENTRO,18209 EDNILDA,1
CENTRO,70000 RONALDO FEITOSA,2
GUANACES(CHORO LAGOINHA),10000 LUZIANE DO MUCURA,2
GUANACES(CHORO LAGOINHA),10123 PAULINHO PROMOÇÕES,7
GUANACES(CHORO LAGOINHA),10333 DAVID GARCÊS,2
GUANACES(CHORO LAGOINHA),10456 GLEIDSON DA BOA AGUA,9
GUANACES(CHORO LAGOINHA),10777 PAULO DA JUDITE,17
GUANACES(CHORO LAGOINHA),10789 FLÁVIO CASCAVELENSE,2
GUANACES(CHORO LAGOINHA),10888 PROFESSORA LINDETE,1
GUANACES(CHORO LAGOINHA),11000 FREITAS DA SAÚDE,55
GUANACES(CHORO LAGOINHA),11222 SEBASTIÃO UCHÔA,11
GUANACES(CHORO LAGOINHA),12123 NENEM DA VIUVA,3
GUANACES(CHORO LAGOINHA),12345 DR GUTEMBERG,1
GUANACES(CHORO LAGOINHA),12888 NETO POLI,1
GUANACES(CHORO LAGOINHA),13123 PROFESSOR ADEILDO,11
GUANACES(CHORO LAGOINHA),13444 TIAGO ROCHA,13
GUANACES(CHORO LAGOINHA),13789 PROFESSOR ERIVAN,9
GUANACES(CHORO LAGOINHA),22111 VINÍCIUS OLINDA,2
GUANACES(CHORO LAGOINHA),22222 RAFAEL AZEVEDO,2
GUANACES(CHORO LAGOINHA),22555 RAFAEL OLIVEIRA,3
GUANACES(CHORO LAGOINHA),22999 PITANGA DA FUNERÁRIA,1
GUANACES(CHORO LAGOINHA),27456 ENFERMEIRA MARCIA,5
GUANACES(CHORO LAGOINHA),27888 MARCELO DO PAREDÃO,1
GUANACES(CHORO LAGOINHA),28007 JOSUÉ CORREIA,1
GUANACES(CHORO LAGOINHA),28028 MAILSON,11
GUANACES(CHORO LAGOINHA),28123 PRISCILA LIMA,3
GUANACES(CHORO LAGOINHA),28124 MARLY DO BENJAMIN,3
GUANACES(CHORO LAGOINHA),28777 CLENILDO QUEIROZ,2
GUANACES(CHORO LAGOINHA),28888 VALDECIR,10
GUANACES(CHORO LAGOINHA),40000 VIEIRA DO TIQUINHO,4
GUANACES(CHORO LAGOINHA),40111 ALLISON CAMILO,1
GUANACES(CHORO LAGOINHA),40123 BETO RAMIRES,17
GUANACES(CHORO LAGOINHA),40444 ADONIAS DO TURISMO,1
GUANACES(CHORO LAGOINHA),40555 NOVO CONSTRUÇÃO,5
GUANACES(CHORO LAGOINHA),44000 OLIVEIRA SILVA,1
GUANACES(CHORO LAGOINHA),44111 DODÓ,4
GUANACES(CHORO LAGOINHA),44123 GAVIÃO SILVA,1
GUANACES(CHORO LAGOINHA),44444 KEKEU DO MUCURA,1
GUANACES(CHORO LAGOINHA),44456 JEOVANE DO GÁS,1
GUANACES(CHORO LAGOINHA),44555 LURDENIS VIEIRA,3
GUANACES(CHORO LAGOINHA),44789 LUCIÉDSON FREITAS,13
GUANACES(CHORO LAGOINHA),44900 SHEIK DO DR BRUNO,2
GUANACES(CHORO LAGOINHA),45678 JUNIOR DO ZE AIRTON,11
GUANACES(CHORO LAGOINHA),70000 RONALDO FEITOSA,1
GUANACES(CHORO LAGOINHA),70100 RUBENILTON,2
GUANACES(CHORO LAGOINHA),70555 HELENA PORFÍRIO,3
BARRA NOVA,10000 LUZIANE DO MUCURA,2
BARRA NOVA,10123 PAULINHO PROMOÇÕES,10
BARRA NOVA,10456 GLEIDSON DA BOA AGUA,3
BARRA NOVA,10555 PROFESSORA ADRIANA,2
BARRA NOVA,10777 PAULO DA JUDITE,14
BARRA NOVA,10789 FLÁVIO CASCAVELENSE,28
BARRA NOVA,11000 FREITAS DA SAÚDE,19
BARRA NOVA,11222 SEBASTIÃO UCHÔA,133
BARRA NOVA,12555 HELIO ALEGRIA,2
BARRA NOVA,12777 VITORIA MARTINS,3
BARRA NOVA,12888 NETO POLI,26
BARRA NOVA,13123 PROFESSOR ADEILDO,182
BARRA NOVA,13444 TIAGO ROCHA,118
BARRA NOVA,13789 PROFESSOR ERIVAN,4
BARRA NOVA,20333 CELIA DAS MARIAS,1
BARRA NOVA,22000 CLAUDEMIR TOCA FOGO,23
BARRA NOVA,22300 GILBERTO DA MANGABEIRA,6
BARRA NOVA,22999 PITANGA DA FUNERÁRIA,6
BARRA NOVA,27000 LAURO CARDOSO,8
BARRA NOVA,27123 MARCIO RABELO,2
BARRA NOVA,27999 JUNIOR GENRO JULIO,31
BARRA NOVA,28007 JOSUÉ CORREIA,5
BARRA NOVA,28123 PRISCILA LIMA,38
BARRA NOVA,28666 FANTIQUIM,5
BARRA NOVA,28777 CLENILDO QUEIROZ,2
BARRA NOVA,28888 VALDECIR,4
BARRA NOVA,40111 ALLISON CAMILO,2
BARRA NOVA,40444 ADONIAS DO TURISMO,14
BARRA NOVA,40456 JORDANA BRAGA,5
BARRA NOVA,40555 NOVO CONSTRUÇÃO,4
BARRA NOVA,44123 GAVIÃO SILVA,1
BARRA NOVA,44444 KEKEU DO MUCURA,23
BARRA NOVA,44555 LURDENIS VIEIRA,5
BARRA NOVA,44567 NETO DANTAS,5
BARRA NOVA,44789 LUCIÉDSON FREITAS,3
BARRA NOVA,45123 DUDU DA CAPONGA,3
BARRA NOVA,45555 FRANCISCO DO BALBINO,1
BARRA NOVA,45678 JUNIOR DO ZE AIRTON,6
BARRA NOVA,45888 ZE DO JORNAL,5
BARRA NOVA,12123 NENEM DA VIUVA,4
